true	Adv	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AB_678_Down_Syndrome_Facing_Challenge_120x90.jpg	true	Shelanu: Down Syndrome -Facing The Challenge	# AB 678	Abraham, Dr. Avraham	Families who are confronted with the challenge of a special child often feel lost and alone. In the confusion and pressure that reigns, decisions about this child's future can be made that will later be regretted. Rabbi Abraham discusses difficult questions parents often are forced to decide and the answers he received from Rav Shlomo Zalman Auerbach and Rav Elyashiv. Among the topics spoken about are whether or not to bring this child home, when to make a decision to send a child for adoption or foster care, and how important or not it is to find an observant Jewish home for a child that will never have any cognitive ability at all.	$3.50	$1.00	N/A	N/A
false	Adv	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AC_817_The_Tribe_Levi_120x9.jpg	false	The Tribe of Levi	# AC 817	Citrin, Rabbi Avraham	From the outside it appears that the shevet of Levi got the short end of the stick. They didn't receive a nachalah (portion of land) like all the other tribes, despite their unswerving vigilance to uphold Hashem's honor. But hear the illustrious place these guardians of Torah occupy, and how God's own hand guides them to peace and prosperity.	$3.50	$1.00	N/A	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AG_000_B.gif	true	Crash Course in Torah	# AG 000 B	Goldhar, Rabbi Avraham	Rabbi Avraham Goldhar gives a birdseye view of the entirety of The Torah - the 5 Books of Moses. First he gives a global overview, then a review of each book and finally the integral meaning of each chapter. In addition, hear explanations for many misunderstood or ignored topics, for instance how do we relate to a Tabernacle in today's world? This clear, well paced overview of the Torah would be impossible to attain by just reading the Bible for an hour.	$5.00	$2.00	$7.00	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AG_715.gif	true	Crash Course in Jewish Holidays	# AG 715	Goldhar, Rabbi Avraham	In this basic overview of the 12 holidays that make up the calendar year, Rabbi Goldhar defines the Jewish concept of time and traces the origins and significance of each holiday in the cycle. His systematic approach will help you to visualize how all the holidays fit together in a unified and meaningful cyclical process of yearly growth.	$5.00	$2.00	$7.00	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_00_What_Happened_in_Garden_Eden--_120x90.jpg	false	What Really Happened in the Garden of Eden?	# AL 001	Aiken PhD, Lisa	It's difficult to understand what went on during the first day mankind was created, or how the world was brought to its confusing state. Lisa Aiken paints a more complete picture of creation, and the deeper mistakes Adam and Eve made by choosing to eat from the tree of knowledge. How did their punishment fit the crime - and which door was left open for an eventual rectification?	$3.50	$2.00	N/A	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_610.gif	false	Differences Between Men and Women	# AL 610 A	Aiken PhD, Lisa	If we were to take a step back and listen in to some typical conversations between men and women, we'd get a really good laugh. The differences are so pronounced that you'd agree they are actually speaking different languages. Lisa Aiken recognizes the legitimacy of these differences, and explains how to save yourself a lot of grief. Some practical topics covered in this session are how feminine and masculine needs differ, how each side reacts to intimacy, and the distinct styles of conversation each side uses to communicate.	$5.00	$2.00	N/A	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_610_B_Men_Are_From_Mars_.jpg	false	Men Are From Mars...	# AL 610 B	Aiken PhD, Lisa	John Gray's bestseller 'Men are From Mars, Women are From Venus' was hailed as a basic text on the differences between men and women, and how they relate. Lisa Aiken looks back to the Torah and to the original creation episode of Adam and Eve to zero in on where the Torah agrees and disagrees with his understandings.	$5.00	$2.00	N/A	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_612_Jewish_Dating_Ethics.jpg	false	Jewish Dating Ethics	# AL 612 A	Aiken PhD, Lisa	Lisa Aiken is someone who can talk about the trials of being single and trying to find the right one. She lists what expectations you should have, how to deal with difficult matchmakers, and how to react to dates that are miles from what you are looking for. Listen in for valuable tips and tools that may make your dating process a lot easier to suffer.	$5.00	$2.00	N/A	N/A
false	Intro	http://www.aishaudio.com/ssi/aish/graphics/titles/AL_612_B.gif	true	Why Does Being Single Happen to Good People?	# AL 612 B	Aiken PhD, Lisa	Everyone who is single feels at some point that 'I'm the only person in the whole world who is still single.' Try fitting a few life-changing ideas into upcoming dates that may lead you from 'singledom' to 'soulmate.'	$5.00	$2.00	N/A	N/A
false	Adv	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_613.gif	false	Ketubah - A Jewish Woman's Rights	# AL 613	Aiken PhD, Lisa	Many people think a ketubah is a flowery declaration of love from the groom to the bride. Others think it's an archaic contract for acquiring property. Lisa Aiken shows how the ketubah is a legal document designed to protect a woman's rights, their money, and their dignity in marriage, death, and possible divorce. Hear how Judaism takes care of its women in ways far beyond the enlightened 21st century legislation.	$5.00	$2.00	N/A	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_613_C_Problem_Solving_Ma.jpg	false	Problem Solving in Marriage	# AL 613 C	Aiken PhD, Lisa	From years of experience as a marriage counselor, Lisa Aiken, PhD. analyzes the four categories of problems that usually arise: pragmatic, social, emotional and spiritual. Learn how couples that will start acting as allies instead of as adversaries can slowly begin resolving their differences with sensitivity and love.	$5.00	$2.00	N/A	N/A
true	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_613_D_Marriage_and_Warning_Signs_120x90.jpg	false	Marriage and Warning Signs	# AL 613 D	Aiken PhD, Lisa	Way too often women get involved in damaging relationships. Could it possibly be that there were no warning signs? Lisa Aiken, PhD uses her long experience in counseling couples to discuss indications of a potentially abusive man. Learn how to recognize the need for control, mind games and anger issues, and hear sensible questions any man you are interested in should be able to answer.	$5.00	$2.00	N/A	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/speak_up_120x90.gif	false	Speak Up - But Speak Wisely	# AL 615 A	Aiken PhD, Lisa	Feeling upset? Want to just 'let it all out?' Unsurprisingly, this attitude is not a Jewish concept - which can rapidly lead to undesired consequences. But we also appreciate it's not healthy to hold it in when angry or hurt. Lisa Aiken, an experienced psychologist and marriage counselor, guides us to understand some of the hidden reasons for our feelings, and offers communication skills to help us express them without anger, and without the other party feeling threatened.	$5.00	$2.00	N/A	N/A
false	Intro	http://www.aishaudio.com/ssi/aish/graphics/titles/AL_620.gif	false	How Good Parents Can Be Better Parents	# AL 620	Aiken PhD, Lisa	Somewhere between all the bandaids, meals, and baths do you ever stop to wonder if you could be doing a better job with your children? Lisa Aiken PhD speaks as a parent who knows all too well the daily struggles of raising kids, and the burnout that usually accompanies it. How do we show our love while reducing our pressure as we move them towards what we believe is best for them?	$5.00	$2.00	N/A	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_630_B_Jewish_Women_as_Innovators_120x90.jpg	false	Jewish Women as Innovators	# AL 630 B	Aiken PhD, Lisa	Living just for yourself is very limiting. Lisa Aiken relates inspiring stories of women who developed creative ways to expand their boundaries using the three pillars of Jewish life Torah, prayer, and acts of loving-kindness. Freshen up your life today and tomorrow in your own unique and special ways.	$5.00	$2.00	N/A	N/A
false	Intro	http://aish.teamgenesis.com/ssi/aish/graphics/titles/AL_630_C.gif	false	Today's Jewish Woman vs. Traditional Judaism	# AL 630 C	Aiken PhD, Lisa	Far from the view that traditional Jewish women are drudges chained to their kitchen and diaper pail, a more accurate way to describe them is like that of an officer directing troop movement from a command post. Lisa Aiken flips the notion that Judaism strips its women of their power, and proves how their influence effects major change. Another disturbing question she tackles is why women are excluded from time bound mitzvot such as tefillin and tzitzis?	$5.00	$2.00	N/A	N/A
